trade_type,entry_time,entry_price,exit_time,exit_price,size,gross_pnl_inr,swap_charges_inr,fees_inr,mae_inr,net_pnl_inr,margin_inr,status
SHORT_ORIG,2024-10-07 03:15:00,34.06338,2024-10-07 03:15:00,33.06338,0.01000,4400.00000,0.00000,88.74000,0.00000,4311.26000,79.46000,CLOSED_TP_SAME_CANDLE
SHORT_ORIG,2024-10-07 12:30:00,33.56338,2024-10-07 12:30:00,32.56338,0.01000,4400.00000,0.00000,88.74000,0.00000,4311.26000,79.46000,CLOSED_TP_SAME_CANDLE
SHORT_ORIG,2024-10-08 01:00:00,33.47991,2024-10-08 01:00:00,32.47991,0.01000,4400.00000,0.00000,88.74000,0.00000,4311.26000,79.46000,CLOSED_TP_SAME_CANDLE
SHORT_ORIG,2024-10-08 14:00:00,32.97991,2024-10-08 14:00:00,31.97991,0.01000,4400.00000,0.00000,88.74000,0.00000,4311.26000,79.46000,CLOSED_TP_SAME_CANDLE
SHORT_ORIG,2024-10-08 15:00:00,32.47991,2024-10-08 15:00:00,31.47991,0.01000,4400.00000,0.00000,88.74000,0.00000,4311.26000,79.46000,CLOSED_TP_SAME_CANDLE
SHORT_ORIG,2024-10-09 03:00:00,32.50590,2024-10-09 03:00:00,31.50590,0.01000,4400.00000,0.00000,88.74000,0.00000,4311.26000,79.46000,CLOSED_TP_SAME_CANDLE
LONG,2024-10-08 15:00:00,30.47991,2024-10-10 13:45:00,30.97991,0.01000,2200.00000,-39.94000,88.74000,1535.20180,2071.32000,79.46000,CLOSED_TP
LONG,2024-10-09 03:00:00,30.50590,2024-10-10 14:00:00,31.00590,0.01000,2200.00000,-19.97000,88.74000,1248.29760,2091.29000,79.46000,CLOSED_TP
LONG,2024-10-08 14:00:00,30.97991,2024-10-11 13:30:00,31.47991,0.01000,2200.00000,-59.91000,88.74000,3735.20180,2051.35000,79.46000,CLOSED_TP
SHORT_ORIG,2024-10-14 02:00:00,32.97355,2024-10-14 02:00:00,31.97355,0.01000,4400.00000,0.00000,88.74000,0.00000,4311.26000,79.46000,CLOSED_TP_SAME_CANDLE
LONG,2024-10-14 02:00:00,30.97355,2024-10-14 06:15:00,31.47355,0.01000,2200.00000,-0.00000,88.74000,301.63760,2111.26000,79.46000,CLOSED_TP
SHORT_ORIG,2024-10-15 05:00:00,33.05873,2024-10-15 05:00:00,32.05873,0.01000,4400.00000,0.00000,88.74000,0.00000,4311.26000,79.46000,CLOSED_TP_SAME_CANDLE
LONG,2024-10-15 05:00:00,31.05873,2024-10-15 14:15:00,31.55873,0.01000,2200.00000,-0.00000,88.74000,1313.51440,2111.26000,79.46000,CLOSED_TP
LONG,2024-10-08 01:00:00,31.47991,2024-10-16 13:00:00,31.97991,0.01000,2200.00000,-159.76000,88.74000,5935.20180,1951.50000,79.46000,CLOSED_TP
LONG,2024-10-07 12:30:00,31.56338,2024-10-16 13:30:00,32.06338,0.01000,2200.00000,-179.73000,88.74000,6302.46100,1931.53000,79.46000,CLOSED_TP
SHORT_ORIG,2024-10-16 22:00:00,33.29494,2024-10-16 22:00:00,32.29494,0.01000,4400.00000,0.00000,88.74000,0.00000,4311.26000,79.46000,CLOSED_TP_SAME_CANDLE
LONG,2024-10-16 22:00:00,31.29494,2024-10-17 00:30:00,31.79494,0.01000,2200.00000,-19.97000,88.74000,760.05160,2091.29000,79.46000,CLOSED_TP
